reviewId:ID(Review),ProductName,CustomerName,Rating,ReviewText,ReviewDate,CategoryName,labels:LABEL
9,亚马逊 智能门铃 Advanced,昂歌信息网络有限公司云计算,4.9,坦白讲，这款智能门铃超出我的预期。不过在早晨起床时表现尤为出色。如果非要说缺点的话，电池寿命还有提升空间。不太推荐购买。,2026-04-22,智能门铃,Review
23,谷歌 智能体重秤 Ultra,毕博诚科技有限公司电子商务,3.1,试用了几天，这款谷歌 智能体重秤 Ultra基本符合预期。省电模式设计得比较合理。特别是在户外活动场景下表现一般。总体来说还是很满意的。,2026-03-28,智能体重秤,Review
25,格力 智能门铃 Elite,创汇科技有限公司数字科技,1.4,购买后，这款智能门铃质量太差。主要问题在于安装困难。唯一值得称赞的可能就是售后服务态度好。希望厂家能重视这些问题。,2026-02-11,智能门铃,Review
5,博世 智能摄像头 Plus,戴硕电子传媒有限公司数字科技,1.7,散热问题问题很严重，完全不值这个价格。,2025-12-29,智能摄像头,Review
29,亚马逊 智能门铃 Advanced,时刻信息有限公司区块链技术,2.5,作为第一次购买这类产品的新手，这款智能门铃使用体验很差。主要问题在于音质一般。已经申请退款了。,2025-12-05,智能门铃,Review
11,谷歌 智能体重秤 Ultra,易动力传媒有限公司区块链技术,2.8,对这款智能体重秤非常不满意，售后服务差，浪费钱。,2025-10-31,智能体重秤,Review
14,亚马逊 智能门铃 Advanced,华成育卓传媒有限公司互联网服务,4.9,在早晨起床时使用效果很好，特别是省电模式功能。,2025-10-22,智能门铃,Review
13,博世 智能摄像头 Plus,商软冠联科技有限公司互联网服务,1.9,对这款智能摄像头非常不满意，操作复杂，浪费钱。,2025-10-16,智能摄像头,Review
10,松下 智能扫地机器人 Elite,商软冠联科技有限公司互联网服务,2.6,散热问题问题很严重，完全不值这个价格。,2025-10-02,智能扫地机器人,Review
17,松下 智能窗帘 Mini,时刻信息有限公司区块链技术,3.1,智能窗帘的质量还可以，音质出色，不过兼容性差。,2025-08-12,智能窗帘,Review
12,松下 智能窗帘 Mini,方正科技科技有限公司区块链技术,1.3,体验下来，这款智能窗帘很失望。主要问题在于功能单一。以后不会再考虑这个品牌的产品。,2025-08-08,智能窗帘,Review
7,格力 智能门铃 Elite,鑫博腾飞传媒有限公司虚拟现实,2.6,使用一周后出现故障，使用说明不清，售后服务也不好。,2025-07-08,智能门铃,Review
2,美的 智能门铃 Pro,毕博诚科技有限公司电子商务,1.3,这款产品有严重问题，画质模糊，已经申请退款。,2025-06-15,智能门铃,Review
24,格力 智能门铃 Advanced,华成育卓传媒有限公司互联网服务,4.0,这款产品的智能场景特别好用，在日常使用时特别方便。,2025-04-30,智能门铃,Review
4,博世 智能摄像头 Plus,戴硕电子传媒有限公司数字科技,1.6,散热问题问题很严重，完全不值这个价格。,2025-04-18,智能摄像头,Review
16,亚马逊 智能门铃 Advanced,创汇科技有限公司数字科技,5.0,这款产品的多用户管理特别好用，在办公环境时特别方便。,2025-04-15,智能门铃,Review
20,博世 智能摄像头 Plus,济南亿次元科技有限公司金融科技,4.1,用了一段时间，这款博世 智能摄像头 Plus设计很人性化。值得一提的是定时功能是我最喜欢的部分。有点贵了，但质量确实好。,2025-04-10,智能摄像头,Review
3,亚马逊 智能门铃 Advanced,鑫博腾飞传媒有限公司虚拟现实,2.8,信号强度问题很严重，完全不值这个价格。,2025-04-04,智能门铃,Review
6,美的 智能门铃 Pro,方正科技科技有限公司区块链技术,3.3,总体来说还行，节能环保，就是耗电量大。,2025-03-14,智能门铃,Review
18,松下 智能扫地机器人 Elite,联通时科网络有限公司数字科技,1.8,必须承认，这款智能扫地机器人性价比极低。使用不到一周就出现了失灵。,2025-02-09,智能扫地机器人,Review
22,松下 智能窗帘 Mini,昂歌信息网络有限公司云计算,3.6,智能窗帘的质量还可以，操作简单，不过反应迟钝。,2025-01-25,智能窗帘,Review
1,松下 智能扫地机器人 Elite,创汇传媒有限公司物联网,2.3,不推荐这款智能扫地机器人，智能化程度低，很失望。,2025-01-23,智能扫地机器人,Review
26,美的 智能门铃 Pro,济南亿次元科技有限公司金融科技,1.6,作为一个经常使用此类产品的人，这款美的 智能门铃 Pro有严重问题。使用不到一周就出现了问题。唯一值得称赞的可能就是价格便宜。这钱花得太冤枉了。,2025-01-22,智能门铃,Review
19,亚马逊 智能门铃 Advanced,良诺传媒有限公司网络安全,5.0,体验下来，这款亚马逊 智能门铃 Advanced做工精细。让我惊喜的是在工作时时表现尤为出色。便宜没好货，这句话在这里很适用。,2025-01-11,智能门铃,Review
27,亚马逊 智能空调 Max,七喜传媒有限公司电子商务,3.4,在工作时使用还不错，但在其他情况下表现一般。,2024-11-11,智能空调,Review
8,谷歌 智能体重秤 Ultra,创汇传媒有限公司物联网,3.5,必须承认，这款智能体重秤质量还行。在晚上睡前时使用体验还不错。可惜的是在户外活动场景下表现一般。总体来说还是很满意的。,2024-08-24,智能体重秤,Review
21,格力 智能门铃 Advanced,良诺传媒有限公司网络安全,3.7,总体来说还行，音质出色，就是反应迟钝。,2024-08-18,智能门铃,Review
28,美的 智能门铃 Pro,方正科技科技有限公司区块链技术,1.6,这款产品有严重问题，售后服务差，已经申请退款。,2024-07-27,智能门铃,Review
15,博世 智能摄像头 Plus,创汇传媒有限公司物联网,4.1,这款智能摄像头的自动调节功能很实用，画质清晰。,2024-06-14,智能摄像头,Review
30,格力 智能门铃 Advanced,毕博诚科技有限公司电子商务,5.0,智能门铃的设计很人性化，兼容性强，值得推荐。,2024-05-23,智能门铃,Review
