ReviewID,ProductID,ProductName,CustomerID,CustomerName,Rating,ReviewText,ReviewDate,CategoryName
9,4,亚马逊 智能门铃 Advanced,TW853,昂歌信息网络有限公司云计算,4.9,坦白讲，这款智能门铃超出我的预期。不过在早晨起床时表现尤为出色。如果非要说缺点的话，电池寿命还有提升空间。不太推荐购买。,2026-04-22,智能门铃
23,9,谷歌 智能体重秤 Ultra,AN592,毕博诚科技有限公司电子商务,3.1,试用了几天，这款谷歌 智能体重秤 Ultra基本符合预期。省电模式设计得比较合理。特别是在户外活动场景下表现一般。总体来说还是很满意的。,2026-03-28,智能体重秤
25,3,格力 智能门铃 Elite,AE959,创汇科技有限公司数字科技,1.4,购买后，这款智能门铃质量太差。主要问题在于安装困难。唯一值得称赞的可能就是售后服务态度好。希望厂家能重视这些问题。,2026-02-11,智能门铃
5,1,博世 智能摄像头 Plus,FR176,戴硕电子传媒有限公司数字科技,1.7,散热问题问题很严重，完全不值这个价格。,2025-12-29,智能摄像头
29,4,亚马逊 智能门铃 Advanced,ZK794,时刻信息有限公司区块链技术,2.5,作为第一次购买这类产品的新手，这款智能门铃使用体验很差。主要问题在于音质一般。已经申请退款了。,2025-12-05,智能门铃
11,9,谷歌 智能体重秤 Ultra,EJ836,易动力传媒有限公司区块链技术,2.8,对这款智能体重秤非常不满意，售后服务差，浪费钱。,2025-10-31,智能体重秤
14,4,亚马逊 智能门铃 Advanced,EY913,华成育卓传媒有限公司互联网服务,4.9,在早晨起床时使用效果很好，特别是省电模式功能。,2025-10-22,智能门铃
13,1,博世 智能摄像头 Plus,SW708,商软冠联科技有限公司互联网服务,1.9,对这款智能摄像头非常不满意，操作复杂，浪费钱。,2025-10-16,智能摄像头
10,5,松下 智能扫地机器人 Elite,SW708,商软冠联科技有限公司互联网服务,2.6,散热问题问题很严重，完全不值这个价格。,2025-10-02,智能扫地机器人
17,10,松下 智能窗帘 Mini,ZK794,时刻信息有限公司区块链技术,3.1,智能窗帘的质量还可以，音质出色，不过兼容性差。,2025-08-12,智能窗帘
12,10,松下 智能窗帘 Mini,WV658,方正科技科技有限公司区块链技术,1.3,体验下来，这款智能窗帘很失望。主要问题在于功能单一。以后不会再考虑这个品牌的产品。,2025-08-08,智能窗帘
7,3,格力 智能门铃 Elite,GP088,鑫博腾飞传媒有限公司虚拟现实,2.6,使用一周后出现故障，使用说明不清，售后服务也不好。,2025-07-08,智能门铃
