SupplierID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage
1,小米智能家居,杨建,CEO,辽宁省瑞县龙潭昆明街o座 599174,桂香市,重庆市,479576,中国,15068202419,15551506510,http://www.小米智能家居.com
2,华为智能生活,潘想,CEO,新疆维吾尔自治区齐齐哈尔县安次詹路z座 560848,淑华市,福建省,980720,中国,18942900881,13607686037,http://www.华为智能生活.com
3,苹果智能家庭,刘金凤,CEO,河北省旭市滨城李街K座 691309,福州市,浙江省,531618,中国,18643661398,13617075120,http://www.苹果智能家庭.com
4,亚马逊智能科技,侯萍,市场总监,云南省六安市门头沟大冶路k座 751696,哈尔滨县,重庆市,215202,中国,15739062338,13337652032,http://www.亚马逊智能科技.com
5,谷歌智能设备,吴瑞,CTO,台湾省武汉市黄浦季路w座 706634,帅市,黑龙江省,561318,中国,14720952745,15581081919,http://www.谷歌智能设备.com
6,三星智能家电,李平,销售经理,澳门特别行政区淮安市清河惠州路U座 172518,波市,广西壮族自治区,709480,中国,15934589741,13600340958,http://www.三星智能家电.com
7,飞利浦智能照明,侯淑华,销售代表,山西省兵县和平王路c座 937559,秀珍市,台湾省,935176,中国,13337121753,13428454052,http://www.飞利浦智能照明.com
8,海尔智慧家庭,王想,市场总监,黑龙江省静县永川辽阳街D座 365439,建市,天津市,652880,中国,18549389492,13853141107,http://www.海尔智慧家庭.com
9,美的智能科技,魏俊,CTO,河南省哈尔滨市新城银川路L座 717942,沈阳县,江西省,891846,中国,15571379039,13424173611,http://www.美的智能科技.com
10,格力智能电器,杨春梅,CTO,天津市宇市平山永安路j座 396117,深圳市,山西省,594095,中国,18519633723,18546151644,http://www.格力智能电器.com
11,博世智能系统,陈凤英,市场总监,宁夏回族自治区英市华龙张家港路d座 396553,明县,湖南省,374441,中国,13248002135,13029762390,http://www.博世智能系统.com
12,西门子智能家居,王鑫,销售经理,福建省澳门县西夏淮安街q座 467985,兵县,广西壮族自治区,574946,中国,14587589502,13697428748,http://www.西门子智能家居.com
13,松下智能电器,许红梅,CTO,新疆维吾尔自治区坤市城北福州路B座 153912,马鞍山市,澳门特别行政区,736600,中国,15251316772,18831017032,http://www.松下智能电器.com
14,索尼智能科技,朱红霞,销售经理,天津市宁德市山亭南昌路W座 891975,浩市,重庆市,582820,中国,13317846368,18021446729,http://www.索尼智能科技.com
15,LG智能家电,叶燕,业务经理,西藏自治区呼和浩特市吉区台北路v座 375683,秀荣市,云南省,772113,中国,13618223566,18846597254,http://www.lg智能家电.com
